config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0789,Random_50M_150M,28,320,12,2,32,64,1408,8.1400,991.00,122.85,4.7994,0.2588,0.6257,0.9404,0.3669,3.0028,55.0241,36.4,37.1,0,1900.8,4.341,
RND_0790,Random_50M_150M,20,480,16,8,32,48,1440,17.5600,1304.00,56.95,3.0694,0.2851,0.5398,0.8032,0.2547,1.6568,24.4290,37.1,37.8,0,1900.8,4.337,
RND_0791,Random_50M_150M,22,640,16,1,48,32,1248,14.9800,1612.00,66.76,3.6814,0.2986,0.5236,0.7922,0.2250,1.9278,25.8875,36.8,38.5,0,1900.8,4.329,
RND_0792,Random_50M_150M,9,544,16,4,48,16,2528,23.6100,862.00,42.35,2.1750,0.3113,0.4879,0.8475,0.1766,1.0611,12.0020,38.5,38.8,0,1900.8,4.328,
RND_0793,Random_50M_150M,13,576,16,4,64,48,2656,15.3700,1588.00,65.06,3.6049,0.2999,0.5501,0.9620,0.2502,1.9831,28.1889,38.1,38.8,0,1900.8,4.317,
RND_0794,Random_50M_150M,6,640,16,1,48,32,1504,32.3600,513.00,30.90,1.4710,0.2872,0.3871,0.6277,0.0999,0.5694,4.5928,38.8,38.8,0,1900.8,4.325,
RND_0795,Random_50M_150M,6,576,16,16,64,64,1408,10.7500,526.00,93.02,3.4097,0.2496,0.5432,0.8285,0.2936,1.8520,31.2821,37.8,38.1,0,1900.8,4.321,
RND_0796,Random_50M_150M,20,384,8,1,32,64,1952,20.4200,1114.00,48.97,2.6321,0.2558,0.5351,0.8239,0.2794,1.4086,22.9776,38.8,38.5,0,1900.8,4.310,
RND_0797,Random_50M_150M,12,640,6,3,32,32,2976,15.7600,1529.00,63.45,3.4960,0.2799,0.5233,0.7390,0.2434,1.8295,26.5953,38.5,38.8,0,1900.8,4.311,
RND_0798,Random_50M_150M,21,320,16,2,32,48,1600,9.2900,787.00,107.64,4.1239,0.2417,0.6279,0.8270,0.3862,2.5895,49.7742,38.5,38.5,0,1900.8,4.311,
RND_0799,Random_50M_150M,20,576,12,1,32,64,2144,13.2800,1905.00,75.30,4.2393,0.2750,0.5538,0.9230,0.2788,2.3477,36.9311,38.5,38.8,0,1900.8,4.302,
RND_0800,Random_50M_150M,16,384,16,4,16,64,1888,21.9700,1131.00,45.52,2.5420,0.2611,0.5469,0.7627,0.2858,1.3902,22.7007,38.1,39.2,0,1900.8,4.302,
RND_0801,Random_50M_150M,10,640,6,6,64,48,1760,22.1700,931.00,45.11,2.3293,0.2874,0.4675,0.9506,0.1801,1.0889,13.1084,38.5,38.8,0,1900.8,4.297,
RND_0802,Random_50M_150M,11,480,1,1,32,64,2592,24.9200,872.00,40.13,2.1160,0.2722,0.5010,0.7572,0.2287,1.0601,15.1253,38.8,40.2,0,1900.8,4.292,
RND_0803,Random_50M_150M,8,576,4,2,48,32,1536,11.5800,414.00,86.36,3.0910,0.3833,0.5221,0.8887,0.1389,1.6139,13.4129,39.2,39.2,0,1900.8,4.290,
RND_0804,Random_50M_150M,8,608,4,1,64,16,2144,28.2800,748.00,35.36,1.8442,0.2898,0.4482,0.6942,0.1584,0.8265,9.1260,38.1,39.2,0,1900.8,4.286,
RND_0805,Random_50M_150M,26,512,6,6,64,16,2624,10.5800,2599.00,94.52,5.5291,0.2543,0.6270,0.9553,0.3727,3.4666,64.3946,38.8,39.2,0,1900.8,4.276,
RND_0806,Random_50M_150M,14,480,6,3,32,48,1184,27.0500,605.00,36.97,1.7510,0.2784,0.4497,0.6862,0.1713,0.7875,9.3752,38.5,40.2,0,1900.8,4.278,
RND_0807,Random_50M_150M,9,448,6,1,48,32,2304,10.9400,489.00,91.41,3.3226,0.4472,0.6600,1.0352,0.2128,2.1930,22.0970,39.8,39.2,0,1900.8,4.272,
RND_0808,Random_50M_150M,24,608,4,4,48,16,1760,13.2600,1784.00,75.41,4.1219,0.2290,0.5562,0.8861,0.3272,2.2927,42.1480,38.8,40.2,0,1900.8,4.266,
RND_0809,Random_50M_150M,13,640,16,8,32,64,896,7.6100,823.00,131.41,4.8966,0.2755,0.5876,0.8521,0.3120,2.8771,47.7475,39.5,39.5,0,1900.8,4.264,
RND_0810,Random_50M_150M,12,576,16,4,64,32,2688,6.1400,1110.00,162.87,6.1589,0.2865,0.6364,0.8191,0.3499,3.9192,67.3407,39.8,39.8,0,1900.8,4.259,
