protocol,split,variant,target,n,mape,mae,r2,spearman
random,20260913,architecture_order_diagnostic,dynamic_energy_per_token_mj,188,19.644978642463684,3.471832513809204,0.9278182983398438,0.9289841016999965
random,20260913,architecture_temp_voltage_diagnostic,tpot_ms,188,8.40739980340004,4.856441020965576,0.9465433955192566,0.9603936390392829
random,20260913,architecture_temp_voltage_diagnostic,ttft_ms,188,7.487979531288147,74.31558227539062,0.928158164024353,0.967621631116285
random,20260913,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,188,21.21351957321167,3.801102638244629,0.9089272022247314,0.9256935527273449
held_out_order_block,0,architecture,tpot_ms,200,24.99758154153824,13.739341735839844,0.819308876991272,0.8752062557791004
held_out_order_block,0,architecture,ttft_ms,200,20.15702575445175,186.71875,0.7937531471252441,0.9087782181733364
held_out_order_block,0,architecture,dynamic_energy_per_token_mj,200,38.119447231292725,6.178719997406006,0.8035521507263184,0.8795559888997226
held_out_order_block,0,architecture_temp,tpot_ms,200,7.8277938067913055,4.182859897613525,0.9757460951805115,0.986068359918515
held_out_order_block,0,architecture_temp,ttft_ms,200,7.768293470144272,72.05595397949219,0.9554213285446167,0.9839341570906968
held_out_order_block,0,architecture_temp,dynamic_energy_per_token_mj,200,26.266556978225708,3.727762460708618,0.9090965390205383,0.928380709517738
held_out_order_block,0,architecture_voltage_diagnostic,tpot_ms,200,32.82492160797119,17.213382720947266,0.7208869457244873,0.78772305624912
held_out_order_block,0,architecture_voltage_diagnostic,ttft_ms,200,26.969540119171143,245.47824096679688,0.6615035533905029,0.8555919191219239
held_out_order_block,0,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,200,43.673402070999146,7.217159271240234,0.7560499906539917,0.8418810470261757
held_out_order_block,0,architecture_order_diagnostic,tpot_ms,200,30.171513557434082,14.793256759643555,0.8034055829048157,0.8771563103806381
held_out_order_block,0,architecture_order_diagnostic,ttft_ms,200,23.926132917404175,207.35687255859375,0.7754555344581604,0.9083777065084306
held_out_order_block,0,architecture_order_diagnostic,dynamic_energy_per_token_mj,200,40.96529483795166,6.409868240356445,0.807458758354187,0.8757383934598366
held_out_order_block,0,architecture_temp_voltage_diagnostic,tpot_ms,200,12.90375292301178,6.31639289855957,0.9345194697380066,0.9525356710030747
held_out_order_block,0,architecture_temp_voltage_diagnostic,ttft_ms,200,11.991176009178162,107.97245788574219,0.8941906690597534,0.9606212281014417
held_out_order_block,0,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,200,28.982025384902954,4.433591842651367,0.8900917172431946,0.9209855246381161
held_out_order_block,1,architecture,tpot_ms,199,30.8884859085083,13.360616683959961,0.7288835048675537,0.9169952679953308
held_out_order_block,1,architecture,ttft_ms,199,25.637087225914,203.85772705078125,0.6551539897918701,0.9355164388030459
held_out_order_block,1,architecture,dynamic_energy_per_token_mj,199,42.77326762676239,6.1612396240234375,0.7375218868255615,0.8837764580478149
held_out_order_block,1,architecture_temp,tpot_ms,199,11.98812872171402,6.174255847930908,0.8891077637672424,0.9540473353477666
held_out_order_block,1,architecture_temp,ttft_ms,199,10.833515971899033,98.73536682128906,0.8592506051063538,0.961897807918529
held_out_order_block,1,architecture_temp,dynamic_energy_per_token_mj,199,26.49887204170227,4.255880832672119,0.8265388011932373,0.9113857164610933
held_out_order_block,1,architecture_voltage_diagnostic,tpot_ms,199,31.10608160495758,13.396732330322266,0.7328356504440308,0.9152958554042853
held_out_order_block,1,architecture_voltage_diagnostic,ttft_ms,199,25.217750668525696,201.7153778076172,0.6586135029792786,0.93806633072396
held_out_order_block,1,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,199,43.03107261657715,6.16392707824707,0.745742917060852,0.8832480584741891
held_out_order_block,1,architecture_order_diagnostic,tpot_ms,199,12.767772376537323,6.791686534881592,0.8575053215026855,0.9283475268360513
held_out_order_block,1,architecture_order_diagnostic,ttft_ms,199,9.59964171051979,94.81485748291016,0.8276280164718628,0.9431889562372207
held_out_order_block,1,architecture_order_diagnostic,dynamic_energy_per_token_mj,199,29.84660565853119,4.739241600036621,0.8079855442047119,0.8897289477691487
held_out_order_block,1,architecture_temp_voltage_diagnostic,tpot_ms,199,8.88439193367958,4.563104629516602,0.9380263686180115,0.9725238789619695
held_out_order_block,1,architecture_temp_voltage_diagnostic,ttft_ms,199,8.236828446388245,75.08641052246094,0.9149107336997986,0.9781443274194145
