variant,seed,target,feature,normalized_gain
compute,123,ttft_ms,attention_width,0.005345536861568689
compute,123,ttft_ms,decode_dense_mac,0.010344068519771099
compute,123,ttft_ms,decode_attention_mac,0.008584121242165565
compute,123,ttft_ms,decode_total_mac,0.09044352918863297
compute,123,ttft_ms,prefill_dense_mac,0.19129598140716553
compute,123,ttft_ms,prefill_attention_mac,0.008074847981333733
compute,123,ttft_ms,prefill_total_mac,0.38453400135040283
compute,123,ttft_ms,sequence_mac,0.1146293357014656
compute,123,ttft_ms,mlp_mac_fraction,0.00807282142341137
compute,123,ttft_ms,classifier_mac_fraction,0.017475713044404984
compute,123,ttft_ms,attention_projection_mac,0.009008273482322693
compute,123,ttft_ms,decode_output_elements,0.021436767652630806
compute,123,dynamic_energy_per_token_mj,n_layer,0.012288566678762436
compute,123,dynamic_energy_per_token_mj,d_model,0.01100725308060646
compute,123,dynamic_energy_per_token_mj,n_h,0.007409759797155857
compute,123,dynamic_energy_per_token_mj,n_kv,0.007923881523311138
compute,123,dynamic_energy_per_token_mj,d_qk,0.004790591076016426
compute,123,dynamic_energy_per_token_mj,d_v,0.007368410471826792
compute,123,dynamic_energy_per_token_mj,d_mlp,0.0108081279322505
compute,123,dynamic_energy_per_token_mj,total_params_M,0.031707514077425
compute,123,dynamic_energy_per_token_mj,q8_group_size,0.1685153841972351
compute,123,dynamic_energy_per_token_mj,layer_size_kb,0.010074387304484844
compute,123,dynamic_energy_per_token_mj,mlp_ratio,0.008096708916127682
compute,123,dynamic_energy_per_token_mj,kv_ratio,0.006982638034969568
compute,123,dynamic_energy_per_token_mj,kv_bytes_per_token,0.007884186692535877
compute,123,dynamic_energy_per_token_mj,attention_width,0.009954199194908142
compute,123,dynamic_energy_per_token_mj,decode_dense_mac,0.011881913989782333
compute,123,dynamic_energy_per_token_mj,decode_attention_mac,0.01697358675301075
compute,123,dynamic_energy_per_token_mj,decode_total_mac,0.013378501869738102
compute,123,dynamic_energy_per_token_mj,prefill_dense_mac,0.1423283964395523
compute,123,dynamic_energy_per_token_mj,prefill_attention_mac,0.007613413967192173
compute,123,dynamic_energy_per_token_mj,prefill_total_mac,0.19844210147857666
compute,123,dynamic_energy_per_token_mj,sequence_mac,0.0608929879963398
compute,123,dynamic_energy_per_token_mj,mlp_mac_fraction,0.009973803535103798
compute,123,dynamic_energy_per_token_mj,classifier_mac_fraction,0.15514741837978363
compute,123,dynamic_energy_per_token_mj,attention_projection_mac,0.01707877591252327
compute,123,dynamic_energy_per_token_mj,decode_output_elements,0.06147744879126549
compute,2026,tpot_ms,n_layer,0.007598869036883116
compute,2026,tpot_ms,d_model,0.008233669213950634
compute,2026,tpot_ms,n_h,0.016998328268527985
compute,2026,tpot_ms,n_kv,0.008302846923470497
compute,2026,tpot_ms,d_qk,0.007102620787918568
compute,2026,tpot_ms,d_v,0.005667679011821747
compute,2026,tpot_ms,d_mlp,0.008985346183180809
compute,2026,tpot_ms,total_params_M,0.023553824052214622
compute,2026,tpot_ms,q8_group_size,0.42812514305114746
compute,2026,tpot_ms,layer_size_kb,0.007827083580195904
compute,2026,tpot_ms,mlp_ratio,0.007711099460721016
compute,2026,tpot_ms,kv_ratio,0.006256062537431717
compute,2026,tpot_ms,kv_bytes_per_token,0.007075615227222443
compute,2026,tpot_ms,attention_width,0.005339071620255709
compute,2026,tpot_ms,decode_dense_mac,0.013072016648948193
compute,2026,tpot_ms,decode_attention_mac,0.008501638658344746
compute,2026,tpot_ms,decode_total_mac,0.03902018070220947
compute,2026,tpot_ms,prefill_dense_mac,0.04024573415517807
compute,2026,tpot_ms,prefill_attention_mac,0.014267672784626484
compute,2026,tpot_ms,prefill_total_mac,0.18767043948173523
compute,2026,tpot_ms,sequence_mac,0.06153200939297676
compute,2026,tpot_ms,mlp_mac_fraction,0.006784916389733553
compute,2026,tpot_ms,classifier_mac_fraction,0.02492350898683071
compute,2026,tpot_ms,attention_projection_mac,0.012150890193879604
compute,2026,tpot_ms,decode_output_elements,0.04305386170744896
compute,2026,ttft_ms,n_layer,0.00709222536534071
compute,2026,ttft_ms,d_model,0.009877604432404041
compute,2026,ttft_ms,n_h,0.01300251204520464
compute,2026,ttft_ms,n_kv,0.009359008632600307
compute,2026,ttft_ms,d_qk,0.0065826005302369595
compute,2026,ttft_ms,d_v,0.005209964234381914
compute,2026,ttft_ms,d_mlp,0.006172976456582546
compute,2026,ttft_ms,total_params_M,0.018490897491574287
compute,2026,ttft_ms,q8_group_size,0.025848742574453354
compute,2026,ttft_ms,layer_size_kb,0.00730842724442482
compute,2026,ttft_ms,mlp_ratio,0.0066630165092647076
compute,2026,ttft_ms,kv_ratio,0.0075469184666872025
compute,2026,ttft_ms,kv_bytes_per_token,0.006566284690052271
compute,2026,ttft_ms,attention_width,0.0063313934952020645
compute,2026,ttft_ms,decode_dense_mac,0.011098979972302914
compute,2026,ttft_ms,decode_attention_mac,0.009207746013998985
compute,2026,ttft_ms,decode_total_mac,0.06383781880140305
compute,2026,ttft_ms,prefill_dense_mac,0.14768332242965698
compute,2026,ttft_ms,prefill_attention_mac,0.007468521595001221
compute,2026,ttft_ms,prefill_total_mac,0.5118301510810852
compute,2026,ttft_ms,sequence_mac,0.05442008748650551
compute,2026,ttft_ms,mlp_mac_fraction,0.0075591932982206345
compute,2026,ttft_ms,classifier_mac_fraction,0.021443966776132584
compute,2026,ttft_ms,attention_projection_mac,0.008339624851942062
compute,2026,ttft_ms,decode_output_elements,0.021058009937405586
compute,2026,dynamic_energy_per_token_mj,n_layer,0.01427827775478363
compute,2026,dynamic_energy_per_token_mj,d_model,0.009367982856929302
compute,2026,dynamic_energy_per_token_mj,n_h,0.009507590904831886
compute,2026,dynamic_energy_per_token_mj,n_kv,0.008574006147682667
compute,2026,dynamic_energy_per_token_mj,d_qk,0.0053801024332642555
compute,2026,dynamic_energy_per_token_mj,d_v,0.006959771737456322
compute,2026,dynamic_energy_per_token_mj,d_mlp,0.010635589249432087
compute,2026,dynamic_energy_per_token_mj,total_params_M,0.022316016256809235
compute,2026,dynamic_energy_per_token_mj,q8_group_size,0.1810745745897293
compute,2026,dynamic_energy_per_token_mj,layer_size_kb,0.00936886202543974
compute,2026,dynamic_energy_per_token_mj,mlp_ratio,0.008880612440407276
compute,2026,dynamic_energy_per_token_mj,kv_ratio,0.007621685042977333
compute,2026,dynamic_energy_per_token_mj,kv_bytes_per_token,0.007856832817196846
compute,2026,dynamic_energy_per_token_mj,attention_width,0.0069846161641180515
compute,2026,dynamic_energy_per_token_mj,decode_dense_mac,0.018918657675385475
compute,2026,dynamic_energy_per_token_mj,decode_attention_mac,0.01205347664654255
compute,2026,dynamic_energy_per_token_mj,decode_total_mac,0.013152857311069965
compute,2026,dynamic_energy_per_token_mj,prefill_dense_mac,0.11199084669351578
compute,2026,dynamic_energy_per_token_mj,prefill_attention_mac,0.025026902556419373
compute,2026,dynamic_energy_per_token_mj,prefill_total_mac,0.243721604347229
compute,2026,dynamic_energy_per_token_mj,sequence_mac,0.06475867331027985
compute,2026,dynamic_energy_per_token_mj,mlp_mac_fraction,0.012326296418905258
compute,2026,dynamic_energy_per_token_mj,classifier_mac_fraction,0.11152473092079163
compute,2026,dynamic_energy_per_token_mj,attention_projection_mac,0.013252036646008492
compute,2026,dynamic_energy_per_token_mj,decode_output_elements,0.06446747481822968
memory,42,tpot_ms,n_layer,0.007644335273653269
memory,42,tpot_ms,d_model,0.005292572546750307
memory,42,tpot_ms,n_h,0.0046861316077411175
memory,42,tpot_ms,n_kv,0.007630576379597187
memory,42,tpot_ms,d_qk,0.006690685637295246
memory,42,tpot_ms,d_v,0.004905408248305321
memory,42,tpot_ms,d_mlp,0.007893504574894905
memory,42,tpot_ms,total_params_M,0.02618439309298992
memory,42,tpot_ms,q8_group_size,0.6259187459945679
memory,42,tpot_ms,layer_size_kb,0.0060545834712684155
memory,42,tpot_ms,mlp_ratio,0.006909756455570459
memory,42,tpot_ms,kv_ratio,0.005470446310937405
memory,42,tpot_ms,kv_bytes_per_token,0.007466771639883518
memory,42,tpot_ms,attention_width,0.004943751264363527
memory,42,tpot_ms,q8_weight_bytes,0.04455443099141121
memory,42,tpot_ms,q8_scale_bytes,0.021122390404343605
memory,42,tpot_ms,embedding_fp32_bytes,0.006887456867843866
memory,42,tpot_ms,kv_read_unique_bytes,0.005982814822345972
memory,42,tpot_ms,kv_read_per_head_bytes,0.0076619163155555725
memory,42,tpot_ms,kv_write_bytes,0.003946585580706596
memory,42,tpot_ms,kv_allocated_bytes,0.0
memory,42,tpot_ms,decode_logical_bytes,0.10321778059005737
memory,42,tpot_ms,decode_mac_per_logical_byte,0.02999906986951828
memory,42,tpot_ms,prefill_mac_per_weight_byte,0.03267183154821396
memory,42,tpot_ms,layer_weight_bytes,0.00652168458327651
memory,42,tpot_ms,prefill_mlp_buffer_bytes,0.009742301888763905
memory,42,ttft_ms,n_layer,0.01353246346116066
memory,42,ttft_ms,d_model,0.0350191667675972
memory,42,ttft_ms,n_h,0.010165946558117867
memory,42,ttft_ms,n_kv,0.011169059202075005
memory,42,ttft_ms,d_qk,0.007231580093502998
memory,42,ttft_ms,d_v,0.009033549576997757
memory,42,ttft_ms,d_mlp,0.009331167675554752
memory,42,ttft_ms,total_params_M,0.009002636186778545
memory,42,ttft_ms,q8_group_size,0.016577742993831635
memory,42,ttft_ms,layer_size_kb,0.009332308545708656
memory,42,ttft_ms,mlp_ratio,0.009988709352910519
memory,42,ttft_ms,kv_ratio,0.007907751947641373
memory,42,ttft_ms,kv_bytes_per_token,0.009264779277145863
memory,42,ttft_ms,attention_width,0.008898889645934105
memory,42,ttft_ms,q8_weight_bytes,0.12774358689785004
memory,42,ttft_ms,q8_scale_bytes,0.07130920886993408
memory,42,ttft_ms,embedding_fp32_bytes,0.07376640290021896
memory,42,ttft_ms,kv_read_unique_bytes,0.0111073674634099
memory,42,ttft_ms,kv_read_per_head_bytes,0.008392872288823128
memory,42,ttft_ms,kv_write_bytes,0.003999535925686359
memory,42,ttft_ms,kv_allocated_bytes,0.0
memory,42,ttft_ms,decode_logical_bytes,0.4753436744213104
memory,42,ttft_ms,decode_mac_per_logical_byte,0.01579871214926243
memory,42,ttft_ms,prefill_mac_per_weight_byte,0.025371871888637543
memory,42,ttft_ms,layer_weight_bytes,0.01055108942091465
memory,42,ttft_ms,prefill_mlp_buffer_bytes,0.010159919038414955
memory,42,dynamic_energy_per_token_mj,n_layer,0.01596824824810028
memory,42,dynamic_energy_per_token_mj,d_model,0.013810562901198864
memory,42,dynamic_energy_per_token_mj,n_h,0.010038461536169052
memory,42,dynamic_energy_per_token_mj,n_kv,0.011568285524845123
memory,42,dynamic_energy_per_token_mj,d_qk,0.008720333687961102
memory,42,dynamic_energy_per_token_mj,d_v,0.008496780879795551
memory,42,dynamic_energy_per_token_mj,d_mlp,0.013562741689383984
memory,42,dynamic_energy_per_token_mj,total_params_M,0.0455472432076931
memory,42,dynamic_energy_per_token_mj,q8_group_size,0.29057610034942627
memory,42,dynamic_energy_per_token_mj,layer_size_kb,0.012051248922944069
memory,42,dynamic_energy_per_token_mj,mlp_ratio,0.010776869021356106
memory,42,dynamic_energy_per_token_mj,kv_ratio,0.008384664542973042
memory,42,dynamic_energy_per_token_mj,kv_bytes_per_token,0.013993675820529461
memory,42,dynamic_energy_per_token_mj,attention_width,0.010009131394326687
memory,42,dynamic_energy_per_token_mj,q8_weight_bytes,0.06953970342874527
memory,42,dynamic_energy_per_token_mj,q8_scale_bytes,0.05121654272079468
memory,42,dynamic_energy_per_token_mj,embedding_fp32_bytes,0.010248071514070034
memory,42,dynamic_energy_per_token_mj,kv_read_unique_bytes,0.011632133275270462
memory,42,dynamic_energy_per_token_mj,kv_read_per_head_bytes,0.013036979362368584
memory,42,dynamic_energy_per_token_mj,kv_write_bytes,0.0
memory,42,dynamic_energy_per_token_mj,kv_allocated_bytes,0.0
memory,42,dynamic_energy_per_token_mj,decode_logical_bytes,0.08635467290878296
memory,42,dynamic_energy_per_token_mj,decode_mac_per_logical_byte,0.03705501928925514
memory,42,dynamic_energy_per_token_mj,prefill_mac_per_weight_byte,0.22182697057724
memory,42,dynamic_energy_per_token_mj,layer_weight_bytes,0.012498579919338226
memory,42,dynamic_energy_per_token_mj,prefill_mlp_buffer_bytes,0.013086896389722824
memory,123,tpot_ms,n_layer,0.008209288120269775
memory,123,tpot_ms,d_model,0.006100161466747522
memory,123,tpot_ms,n_h,0.004454432521015406
memory,123,tpot_ms,n_kv,0.008690563030540943
memory,123,tpot_ms,d_qk,0.006618943531066179
memory,123,tpot_ms,d_v,0.005180308595299721
memory,123,tpot_ms,d_mlp,0.007418869528919458
memory,123,tpot_ms,total_params_M,0.02530704252421856
memory,123,tpot_ms,q8_group_size,0.6565057635307312
memory,123,tpot_ms,layer_size_kb,0.0064275795593857765
memory,123,tpot_ms,mlp_ratio,0.006314365658909082
memory,123,tpot_ms,kv_ratio,0.0041832104325294495
memory,123,tpot_ms,kv_bytes_per_token,0.006707973778247833
memory,123,tpot_ms,attention_width,0.005326943472027779
